CustomerID,Age,Gender,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10001,42,Male,125340.50,1,1,1,84520.00,0
10002,37,Female,0.00,2,0,1,112400.75,0
10003,55,Male,89234.20,2,1,0,67800.00,1
10004,29,Female,203410.00,1,1,1,134500.50,0
10005,63,Male,14780.30,2,1,0,48900.25,1
10006,48,Female,0.00,3,0,1,98760.00,1
10007,34,Male,178920.60,1,1,1,145230.00,0
10008,51,Female,56340.80,2,1,0,72100.50,0
10009,27,Male,0.00,1,0,1,58400.00,0
10010,44,Female,142560.90,2,1,1,119340.75,0
10011,38,Male,98430.00,1,1,0,87650.00,0
10012,60,Female,231890.40,2,0,0,42300.00,1
10013,33,Male,0.00,2,1,1,104560.25,0
10014,47,Female,167230.70,1,1,1,138900.00,0
10015,56,Male,43210.60,2,1,0,63200.50,1
10016,31,Female,0.00,1,0,1,91450.75,0
10017,45,Male,189650.30,2,1,1,127800.00,0
10018,52,Female,78920.50,1,1,0,74500.25,1
10019,26,Male,0.00,1,1,1,52300.00,0
10020,39,Female,134780.20,2,0,1,115670.00,0
10021,67,Male,54320.80,1,1,0,38900.50,1
10022,35,Female,0.00,3,1,1,99200.00,1
10023,43,Male,212450.60,2,1,1,142300.75,0
10024,50,Female,87650.40,1,0,0,68700.00,0
10025,28,Male,0.00,1,1,1,61500.25,0
10026,57,Female,176890.70,2,1,0,55400.00,1
10027,41,Male,103450.30,1,1,1,108900.50,0
10028,36,Female,0.00,2,0,1,123450.00,0
10029,49,Male,154320.80,2,1,1,131200.75,0
10030,64,Female,28910.50,1,1,0,44700.25,1
10031,32,Male,0.00,1,1,1,86300.00,0
10032,46,Female,198760.40,2,1,0,119800.50,0
10033,53,Male,67890.60,1,0,1,71200.00,1
10034,30,Female,0.00,2,1,1,97650.75,0
10035,42,Male,145670.20,1,1,1,128900.00,0
10036,58,Female,89320.80,2,1,0,59400.25,1
10037,25,Male,0.00,1,0,1,54300.50,0
10038,44,Female,167890.30,2,1,1,137600.00,0
10039,61,Male,43560.70,1,1,0,41200.75,1
10040,37,Female,0.00,3,1,0,102340.00,1
10041,48,Male,223450.50,2,1,1,146700.25,0
10042,55,Female,78430.80,1,0,0,65800.00,1
10043,29,Male,0.00,1,1,1,57900.50,0
10044,40,Female,189230.60,2,1,1,124500.75,0
10045,65,Male,34560.40,2,1,0,36700.00,1
10046,33,Female,0.00,1,0,1,93450.25,0
10047,47,Male,156780.70,1,1,1,133200.00,0
10048,54,Female,92340.30,2,1,0,69400.50,1
10049,27,Male,0.00,1,1,1,60200.75,0
10050,43,Female,143210.80,2,0,1,117890.00,0
10051,38,Male,178430.50,1,1,1,140300.25,0
10052,62,Female,56780.60,2,1,0,47600.50,1
10053,31,Male,0.00,2,1,1,88900.00,0
10054,49,Female,201230.40,1,1,1,135600.75,0
10055,56,Male,67890.70,2,1,0,62400.25,1
10056,35,Female,0.00,1,0,1,95670.00,0
10057,44,Male,167450.30,2,1,1,129800.50,0
10058,51,Female,83210.80,1,1,0,73200.00,1
10059,28,Male,0.00,1,1,1,56700.75,0
10060,46,Female,154320.60,2,1,1,121450.25,0
10061,59,Male,45670.40,1,0,0,50300.00,1
10062,34,Female,0.00,3,1,0,100780.50,1
10063,42,Male,189760.70,2,1,1,143200.75,0
10064,53,Female,71230.30,1,1,0,68900.00,1
10065,26,Male,0.00,1,1,1,53400.25,0
10066,40,Female,178920.80,2,1,1,126700.50,0
10067,63,Male,38910.60,1,1,0,40100.75,1
10068,36,Female,0.00,2,0,1,106540.00,0
10069,48,Male,213450.40,1,1,1,148900.25,0
10070,57,Female,89320.70,2,1,0,61200.50,1
10071,30,Male,0.00,1,1,1,59800.75,0
10072,45,Female,158760.30,2,1,1,132400.00,0
10073,52,Male,67450.80,1,0,0,70600.25,1
10074,27,Female,0.00,1,1,1,55300.50,0
10075,41,Male,196230.60,2,1,1,139700.75,0
10076,66,Female,43210.40,1,1,0,37800.00,1
10077,33,Male,0.00,2,1,1,89560.25,0
10078,50,Female,167890.70,1,1,1,136200.50,0
10079,43,Male,78430.30,2,1,0,71800.75,1
10080,37,Female,0.00,1,0,1,99340.00,0
10081,46,Male,234560.80,2,1,1,147300.25,0
10082,55,Female,56780.60,1,1,0,64500.50,1
10083,29,Male,0.00,1,1,1,57100.75,0
10084,44,Female,143450.40,2,0,1,118900.00,0
10085,60,Male,45670.70,2,1,0,43400.25,1
10086,32,Female,0.00,1,1,1,87230.50,0
10087,47,Male,189230.30,1,1,1,134800.75,0
10088,54,Female,71230.80,2,1,0,66700.00,1
10089,26,Male,0.00,1,0,1,52800.25,0
10090,39,Female,167450.60,2,1,1,125600.50,0
10091,58,Male,43210.40,1,1,0,48200.75,1
10092,35,Female,0.00,3,1,0,103450.00,1
10093,43,Male,201230.70,2,1,1,144500.25,0
10094,52,Female,84560.30,1,1,0,69800.50,1
10095,28,Male,0.00,1,1,1,58300.75,0
10096,46,Female,156780.80,2,1,1,130200.00,0
10097,61,Male,38910.60,1,0,0,42700.25,1
10098,34,Female,0.00,2,1,1,92340.50,0
10099,49,Male,178920.40,1,1,1,137800.75,0
10100,57,Female,67890.70,2,1,0,63400.00,1
